AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2
3,2,2,5,4,2,4,6,3,2,1,5,5,7,7,7,5,3,6,1,1,2,5,5,138,1,2
3,2,1,5,4,2,5,4,4,3,6,3,3,6,3,7,2,3,1,6,2,6,4,5,614,5,5
4,2,1,5,4,2,1,4,3,4,5,1,1,2,2,5,6,5,5,6,7,7,7,7,741,7,7
3,2,2,6,4,2,3,1,4,3,2,2,2,7,6,7,2,3,2,5,5,6,6,6,2,7,6
4,2,2,6,4,2,6,5,3,1,6,2,2,2,2,3,5,3,5,5,5,6,6,6,61,7,7
3,1,2,3,4,2,4,6,6,4,6,6,6,5,5,4,6,7,6,1,4,4,3,3,571,5,5
3,2,2,6,4,2,6,5,4,3,2,6,6,5,3,2,6,2,2,7,3,4,3,3,581,7,7
3,1,2,6,4,2,6,6,3,2,1,1,1,5,3,2,3,6,3,6,7,7,7,7,128,7,7
3,2,2,5,4,2,4,6,3,5,6,1,1,2,2,3,3,2,3,1,6,6,7,7,73,7,7
4,2,2,6,4,2,5,5,2,2,6,1,1,2,1,2,6,2,3,7,7,7,7,7,451,7,7
3,2,2,5,4,2,2,6,3,1,3,6,6,4,3,4,6,5,6,6,3,5,4,4,421,5,5
4,2,2,5,4,2,6,2,4,5,5,1,1,3,3,3,5,5,4,7,6,6,6,6,275,7,6
4,2,2,6,4,2,4,1,5,2,1,1,1,3,3,3,6,7,5,7,6,6,6,6,812,7,7
4,2,2,6,4,2,2,1,5,6,5,2,2,7,2,2,5,1,2,7,7,7,7,7,128,7,1
3,2,2,6,4,2,4,6,2,3,1,3,3,3,4,6,7,2,6,5,6,7,7,7,1,6,6
4,2,2,6,4,2,6,6,6,1,4,6,6,2,2,5,1,5,1,1,5,5,7,7,1,5,4
4,2,2,5,4,2,6,6,3,2,6,1,1,6,1,3,2,7,3,7,5,7,7,6,142,7,7
4,1,2,6,4,2,2,4,4,1,1,3,3,5,3,5,5,3,5,1,6,6,4,6,184,7,6
3,1,2,6,4,3,6,6,1,2,1,1,1,2,3,2,2,2,7,7,7,7,7,7,148,7,7
5,2,2,6,3,3,2,5,2,2,2,2,2,3,4,5,6,6,5,5,5,6,6,5,417,6,6
3,2,2,6,4,2,4,6,3,6,1,3,3,6,6,6,6,5,5,4,2,5,5,5,821,3,3
3,2,1,5,4,2,4,3,6,2,1,5,5,4,4,6,2,2,6,4,5,6,6,5,821,6,6
4,2,2,6,4,2,6,3,4,4,4,1,1,3,2,2,3,5,3,6,7,7,6,7,521,6,7
4,2,2,6,4,2,6,3,4,3,4,4,4,2,2,2,2,5,2,4,6,6,6,6,417,7,6
3,2,2,6,4,2,5,2,6,4,1,3,3,5,1,5,2,6,2,6,6,7,7,6,821,6,6
