AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2,RA_total,RP_total,PBC_total,BI_total,GOAL_scaled,RA_total_scaled,RP_total_scaled,PBC_total_scaled,BI_total_scaled,FQPB_scaled,GENDER_encoded,EDUCATION_encoded,OCCUPATION_encoded,MARITAL_STATUS_encoded
3,2,2,5,4,2,4,6,3,2,1,5,5,7,7,7,5,3,6,1,1,2,5,5,138,1,2,14,21,13,3,-0.8521973915624235,0.24668186441500492,2.448515507929819,-2.1499504963875173,-2.6984311496883833,-2.105774503459621,1,3,1,1
3,2,1,5,4,2,5,4,4,3,6,3,3,6,3,7,2,3,1,6,2,6,4,5,614,5,5,6,16,17,10,0.8627246560540197,-1.507039625459737,1.401273789169138,-1.2714872653110432,-0.29323709965006184,0.5611195533170845,1,3,1,0
4,2,1,5,4,2,1,4,3,4,5,1,1,2,2,5,6,5,5,6,7,7,7,7,741,7,7,16,9,28,14,1.3202773872458018,0.6851122368836904,-0.0648646170958153,1.1442866201492612,1.0811595003718362,0.5611195533170845,1,3,1,0
3,2,2,6,4,2,3,1,4,3,2,2,2,7,6,7,2,3,2,5,5,6,6,6,2,7,6,7,20,23,13,-1.3421751194528357,-1.2878244392253941,2.239067164177683,0.04620758130366836,0.7375603503663616,0.02774074196174343,1,3,1,1
4,2,2,6,4,2,6,5,3,1,6,2,2,2,2,3,5,3,5,5,5,6,6,6,61,7,7,13,7,23,14,-1.1296112522062598,0.0274666781806622,-0.4837613046000877,0.04620758130366836,1.0811595003718362,0.02774074196174343,1,3,1,1
3,1,2,3,4,2,4,6,6,4,6,6,6,5,5,4,6,7,6,1,4,4,3,3,571,5,5,19,14,14,10,0.7078052273827864,1.3427577955867187,0.9823771016648657,-1.930334688618399,-0.29323709965006184,-2.105774503459621,0,3,1,1
3,2,2,6,4,2,6,5,4,3,2,6,6,5,3,2,6,2,2,7,3,4,3,3,581,7,7,10,10,13,14,0.7438330014923756,-0.630178880522366,0.14458372665632088,-2.1499504963875173,1.0811595003718362,1.0944983646724256,1,3,1,1
3,1,2,6,4,2,6,6,3,2,1,1,1,5,3,2,3,6,3,6,7,7,7,7,128,7,7,12,10,28,14,-0.8882251656720126,-0.19174850805368054,0.14458372665632088,1.1442866201492612,1.0811595003718362,0.5611195533170845,0,3,1,1
3,2,2,5,4,2,4,6,3,5,6,1,1,2,2,3,3,2,3,1,6,6,7,7,73,7,7,8,7,26,14,-1.0863779232747528,-1.0686092529910514,-0.4837613046000877,0.7050550046110241,1.0811595003718362,-2.105774503459621,1,3,1,1
4,2,2,6,4,2,5,5,2,2,6,1,1,2,1,2,6,2,3,7,7,7,7,7,451,7,7,11,5,28,14,0.27547193806771675,-0.41096369428802326,-0.90265799210436,1.1442866201492612,1.0811595003718362,1.0944983646724256,1,3,1,1
